Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904849625,HANCOCK,,11/23/25,2025,Pedalcycle,100 NORTH & 200W,IMPROPER PASSING,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.7984913,-85.8423662,COMPLAINT OF PAIN,Other
904842393,HANCOCK,GREENFIELD,11/10/25,2025,Pedestrian,N BROADWAY ST & W PARK AVE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.79202186,-85.77943535,MINOR BLEEDING,Other
904850573,HANCOCK,GREENFIELD,11/21/25,2025,Pedestrian,N STATE ST ,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.80149158,-85.7712394,NONE VISIBLE,Other
904849166,HANCOCK,GREENFIELD,10/5/25,2025,Pedestrian,MELODY LN & E MCCLARNON DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,FATAL,DAYLIGHT,CLEAR,DRY,39.80828608,-85.768066,PARALYSIS,Fatal
904874442,HENDRICKS,PLAINFIELD,12/20/25,2025,Pedestrian,E CO RD 100 S & KATHY LN,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,FATAL,DARK (NOT LIGHTED),CLEAR,DRY,39.7489866,-86.33169424,INTERNAL,Fatal
904856305,JOHNSON,GREENWOOD,12/1/25,2025,Pedestrian,MERIDIAN PARKE DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.61851946,-86.15952539,CRUSH INJURY,SSI
904868603,HAMILTON,FISHERS,12/18/25,2025,Pedestrian,DISTRICT NORTH DR & JUNCTION STATION,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,RAIN,WET,39.95527708,-85.99967131,CRUSH INJURY,SSI
904869713,HENDRICKS,PLAINFIELD,12/10/25,2025,Pedestrian,SUGAR LN N & SUGAR LN,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DARK (NOT LIGHTED),CLOUDY,DRY,39.69044121,-86.42126685,INTERNAL,SSI
904854695,HANCOCK,GREENFIELD,12/1/25,2025,Pedestrian,W MAIN ST & VAN BUREN ST,IMPROPER LANE USAGE,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DARK (LIGHTED),SNOW,SNOW/SLUSH,39.78404081,-85.79377388,COMPLAINT OF PAIN,Other
904857159,HENDRICKS,AVON,12/4/25,2025,Pedestrian,E US 36,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.76112517,-86.38288237,COMPLAINT OF PAIN,Other
904859152,BOONE,LEBANON,12/8/25,2025,Pedestrian,LEBANON ST & SOUTH ST.,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,REFUSED,DARK (LIGHTED),CLOUDY,DRY,40.04663792,-86.46916085,COMPLAINT OF PAIN,Other
904861032,HENDRICKS,AVON,12/9/25,2025,Pedestrian,ROCKVILLE RD & KINGSTON ST,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,,DARK (LIGHTED),CLEAR,DRY,39.76306329,-86.37881078,,Other
904861866,HANCOCK,GREENFIELD,12/10/25,2025,Pedestrian,BLUE RD & SWEETWATER LN,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,RIGHT TURN,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.79085124,-85.74607297,COMPLAINT OF PAIN,Other
904865453,HENDRICKS,,12/11/25,2025,Pedestrian,HEARTLAND BLVD,UNSAFE BACKING,BACKING CRASH,NOT REPORTED,DAWN/DUSK,CLOUDY,DRY,39.6383735,-86.3357087,NONE VISIBLE,Other
904865569,JOHNSON,GREENWOOD,12/12/25,2025,Pedestrian,N US 31,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,SNOW,WET,39.6352781,-86.12263871,COMPLAINT OF PAIN,Other
904870750,JOHNSON,,12/22/25,2025,Pedestrian,SHELBY AVE & DUCKWORTH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLOUDY,DRY,39.35667672,-85.96367819,COMPLAINT OF PAIN,Other
904871510,JOHNSON,GREENWOOD,12/22/25,2025,Pedestrian,E MAIN ST & I-65,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DAYLIGHT,CLOUDY,DRY,39.61460086,-86.07235712,NONE VISIBLE,Other
904884466,HENDRICKS,,12/23/25,2025,Pedalcycle,S DAN JONES RD & VANDALIA TRAIL,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.7151615,-86.38079229,COMPLAINT OF PAIN,Other
904646320,MARION,INDIANAPOLIS,1/4/25,2025,Pedestrian,MERIDIAN STREET & 22ND STREET,UNSAFE SPEED,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.79733,-86.15728,MINOR BLEEDING,Other
904646336,MARION,INDIANAPOLIS,1/4/25,2025,Pedestrian,S DELAWARE ST & E MARYLAND ST,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.76467,-86.15454,COMPLAINT OF PAIN,Other
904646527,MARION,INDIANAPOLIS,1/3/25,2025,Pedestrian,E WASHINGTON ST & N EMERSON AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,WET,39.77022,-86.08302,COMPLAINT OF PAIN,Other
904646839,MARION,INDIANAPOLIS,1/3/25,2025,Pedestrian,N GERMAN CHURCH RD & E 21ST ST,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,FATAL,DARK (NOT LIGHTED),CLOUDY,DRY,39.79634,-85.97155,CRUSH INJURY,Fatal
904650029,MARION,INDIANAPOLIS,1/9/25,2025,Pedestrian,E VERMONT ST.  & N SHERMAN DR.,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DARK (LIGHTED),SNOW,SNOW/SLUSH,39.77301,-86.10221,MINOR BLEEDING,Other
904650566,MARION,INDIANAPOLIS,1/11/25,2025,Pedestrian,W 10TH ST & N TIBBS AVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,WET,39.78053,-86.216,COMPLAINT OF PAIN,Other
904651356,MARION,LAWRENCE,1/13/25,2025,Pedestrian,FALL CREEK RD & E 79TH ST,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,LEFT TURN,UNKNOWN,DAYLIGHT,CLEAR,DRY,39.89785,-85.99446,COMPLAINT OF PAIN,Other
904655676,SHELBY,,1/17/25,2025,Pedestrian,S HARRISON STREET & BROADWAY ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,WET,39.52291,-85.77697,COMPLAINT OF PAIN,Other
904656226,MARION,INDIANAPOLIS,1/20/25,2025,Pedestrian,PENNSYLVANIA STREET & 12TH STREET,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.78362,-86.15572,ABRASION,Other
904656240,MARION,INDIANAPOLIS,1/20/25,2025,Pedestrian,WEST 34TH STREET & LIVE OAK ROAD,PEDESTRIAN ACTION,SAME DIRECTION SIDESWIPE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,ICE,39.81606,-86.27782,FRACTURE/DISLOCATION,SSI
904656732,MARION,INDIANAPOLIS,1/21/25,2025,Pedestrian,W WASHINGTON ST & BRIDGEPORT RD,VIEW OBSTRUCTED,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.73142,-86.31951,COMPLAINT OF PAIN,Other
904658128,MARION,INDIANAPOLIS,1/24/25,2025,Pedestrian,S HIGH SCHOOL RD & W WASHINGTON ST ,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.74631,-86.27003,CONTUSION/BRUISE,Other
904658448,MARION,INDIANAPOLIS,1/24/25,2025,Pedestrian,EAST 86TH STREET  & EAST 86TH STREET & PANTHER DRI,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,NOT REPORTED,DAYLIGHT,CLOUDY,DRY,39.91242,-86.13107,NONE VISIBLE,Other
904658911,SHELBY,,1/25/25,2025,Pedestrian,PROGRESS PARKWAY,PEDESTRIAN ACTION,BACKING CRASH,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.5263,-85.74221,NONE VISIBLE,Other
904659270,MARION,INDIANAPOLIS,1/25/25,2025,Pedestrian,N KEYSTONE AVE & E 64TH STREET,FOLLOWING TOO CLOSELY,REAR END,FATAL,DARK (LIGHTED),CLEAR,DRY,39.87236,-86.12225,CRUSH INJURY,Fatal
904659273,MARION,INDIANAPOLIS,1/24/25,2025,Pedestrian,N. SHADELAND AV. & CARLTON ARMS PLZ.,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,LEFT TURN,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.89253,-86.0461,CONTUSION/BRUISE,Other
904659378,MARION,INDIANAPOLIS,1/9/25,2025,Pedestrian,I-465 SB,FAILURE TO MAINTAIN LANE,REAR END,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.92262,-86.26861,CRUSH INJURY,SSI
904659489,MARION,INDIANAPOLIS,1/26/25,2025,Pedestrian,GABLE LANE DR,VIEW OBSTRUCTED,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.82598,-86.19697,COMPLAINT OF PAIN,Other
904659769,MARION,INDIANAPOLIS,1/27/25,2025,Pedestrian,BLAKE ST & OHIO ST,IMPROPER TURNING,LEFT TURN,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.77072,-86.17334,COMPLAINT OF PAIN,Other
904661233,MARION,INDIANAPOLIS,1/29/25,2025,Pedestrian,E THOMPSON RD & S ARLINGTON AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.69491,-86.06364,MINOR BLEEDING,Other
904661588,MARION,INDIANAPOLIS,1/30/25,2025,Pedestrian,E WASHINGTON ST & WASHINGTON POINTE DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.77526,-85.98075,INTERNAL,SSI
904662828,MARION,SPEEDWAY,1/27/25,2025,Pedestrian,W 10TH ST & ALLISON WAY,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.7809,-86.23721,UNCONSCIOUSNESS,SSI
904662829,MARION,SPEEDWAY,1/29/25,2025,Pedestrian,CRAWFORDSVILLE RD,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.80034,-86.26994,UNCONSCIOUSNESS,SSI
904664013,MARION,INDIANAPOLIS,1/30/25,2025,Pedestrian,S RURAL ST. & E WASHINGTON ST.,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (NOT LIGHTED),RAIN,WET,39.76833,-86.11642,COMPLAINT OF PAIN,Other
904664249,MARION,INDIANAPOLIS,1/31/25,2025,Pedestrian,ALLISONVILLE ROAD  & E 48TH STREET ,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,RAIN,WET,39.84298,-86.11492,CONTUSION/BRUISE,Other
904664383,MARION,INDIANAPOLIS,1/31/25,2025,Pedestrian,S EMERSON AVE & E THOMSPON RD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.6956,-86.08236,NONE VISIBLE,Other
904664426,MARION,INDIANAPOLIS,2/5/25,2025,Pedestrian,US 36 & KERCHEVAL,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,UNKNOWN,DARK (LIGHTED),RAIN,WET,39.83004,-86.04038,NONE VISIBLE,Other
904664512,MARION,INDIANAPOLIS,2/5/25,2025,Pedestrian,W MICHIGAN ST & UNIVERSITY BLVD,FAILURE TO YIELD RIGHT OF WAY,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.77453,-86.17553,CONTUSION/BRUISE,Other
904664815,MARION,INDIANAPOLIS,2/1/25,2025,Pedestrian,S MERIDIAN ST & WASHINGTON ST,VIEW OBSTRUCTED,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.76698,-86.15812,COMPLAINT OF PAIN,Other
904664894,MORGAN,MOORESVILLE,2/6/25,2025,Pedestrian,SQUIRE DRIVE,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.5813,-86.37719,ABRASION,Other
904665083,MARION,INDIANAPOLIS,2/3/25,2025,Pedestrian,KEYSTONE AVE & 55TH PL.,PEDESTRIAN ACTION,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.85373,-86.12202,MINOR BLEEDING,Other
904666943,MARION,INDIANAPOLIS,2/7/25,2025,Pedalcyclist,E 30TH ST & N KEYSTONE AVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,REFUSED,DAYLIGHT,CLEAR,DRY,39.81076,-86.12164,COMPLAINT OF PAIN,Other
904668433,MARION,LAWRENCE,2/13/25,2025,Pedestrian,OAKLANDON ROAD & VERDIN ST,PEDESTRIAN ACTION,NON-COLLISION,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,ICE,39.87727,-85.95715,COMPLAINT OF PAIN,Other
904668518,MARION,INDIANAPOLIS,2/11/25,2025,Pedalcyclist,E 16TH ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,REFUSED,DAWN/DUSK,CLEAR,DRY,39.78842,-86.14855,MINOR BLEEDING,Other
904668559,MARION,INDIANAPOLIS,2/12/25,2025,Pedestrian,SAM JONES EXPRESSWAY & EXECUTIVE DR,FOLLOWING TOO CLOSELY,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DAWN/DUSK,RAIN,WET,39.72982,-86.2567,COMPLAINT OF PAIN,Other
904669269,MARION,INDIANAPOLIS,2/14/25,2025,Pedestrian,BROAD RIPPLE AVE & EVANSTON AVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,REFUSED,DAYLIGHT,CLEAR,DRY,39.86865,-86.12703,ABRASION,Other
904670456,MARION,INDIANAPOLIS,2/13/25,2025,Pedalcyclist,I65 109 RAMP C & E RAYMOND ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,FATAL,DARK (LIGHTED),CLOUDY,DRY,39.73763,-86.13914,INTERNAL,Fatal
904671174,MARION,INDIANAPOLIS,2/15/25,2025,Pedestrian,MERIDIAN ST & LOUISIANA ,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,REFUSED,DARK (LIGHTED),RAIN,WET,39.7629,-86.15828,COMPLAINT OF PAIN,Other
904671931,MARION,INDIANAPOLIS,2/18/25,2025,Pedestrian,W 11TH ST. & N SENATE AVE.,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.78225,-86.16306,COMPLAINT OF PAIN,Other
904673625,MARION,LAWRENCE,2/20/25,2025,Pedestrian,N RICHARDT AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,WET,39.85365,-86.03797,ABRASION,Other
904673986,MARION,INDIANAPOLIS,2/20/25,2025,Pedestrian,S PENNSYLVANIA ST & E GEORGIA ST,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.76446,-86.15636,COMPLAINT OF PAIN,Other
904674166,MARION,INDIANAPOLIS,2/21/25,2025,Pedestrian,NEW YORK ST  & NEW JERSEY ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.77074,-86.15061,COMPLAINT OF PAIN,Other
904675282,MARION,INDIANAPOLIS,2/22/25,2025,Pedestrian,E 65TH ST & SHADELAND AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,FATAL,DARK (NOT LIGHTED),CLEAR,DRY,39.87638,-86.04602,UNCONSCIOUSNESS,Fatal
904675489,MARION,INDIANAPOLIS,2/22/25,2025,Pedalcyclist,REED RD & W 46TH STREET,PEDESTRIAN ACTION,REAR END,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.84049,-86.28974,CONTUSION/BRUISE,Other
904675753,MARION,INDIANAPOLIS,2/22/25,2025,Pedestrian,MICHIGAN ST & HOLT RD,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,OTHER - EXPLAIN IN NARRATIVE,,DARK (LIGHTED),CLEAR,DRY,39.77378,-86.22445,,Other
904676446,MORGAN,,2/21/25,2025,Pedalcyclist,WASHINGTON & LUFORD,DISREGARD SIGNAL/REG SIGN,LEFT/RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.42691,-86.43567,COMPLAINT OF PAIN,Other
904676670,MARION,INDIANAPOLIS,2/15/25,2025,Pedestrian,MITTHOEFER ROAD & EAST 38TH STREET,PEDESTRIAN ACTION,NON-COLLISION,INCAPACITATING,DARK (LIGHTED),RAIN,WET,39.82649,-85.9911,FRACTURE/DISLOCATION,SSI
904676789,MARION,INDIANAPOLIS,2/18/25,2025,Pedestrian,N ILLINOIS ST & W MICHIGAN ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,FATAL,DAYLIGHT,CLOUDY,DRY,39.77419,-86.15964,CRUSH INJURY,Fatal
904676823,MARION,INDIANAPOLIS,2/25/25,2025,Pedestrian,E. 21ST STREET & RAMA PL,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (LIGHTED),CLOUDY,DRY,39.79647,-86.04775,ABRASION,Other
904677143,MARION,INDIANAPOLIS,2/26/25,2025,Pedestrian,N GIRLS SCHOOL RD & ROCKLEIGH AVE,PEDESTRIAN ACTION,OPPOSITE DIRECTION SIDESWIPE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLOUDY,WET,39.76653,-86.2891,MINOR BLEEDING,Other
904677656,MARION,INDIANAPOLIS,2/26/25,2025,Pedalcyclist,KENTUCKY AVE & S WHITE RIVER PKWY W DR,PEDESTRIAN ACTION,REAR END,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.75336,-86.17673,COMPLAINT OF PAIN,Other
904677834,MARION,INDIANAPOLIS,2/28/25,2025,Pedestrian,GEORGETOWN RD & W 34TH ST,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.81672,-86.23992,ABRASION,Other
904678006,MARION,LAWRENCE,1/26/25,2025,Pedestrian,PENDLETON PIKE,UNSAFE BACKING,BACKING CRASH,REFUSED,DAYLIGHT,CLEAR,DRY,39.85856,-85.97623,NONE VISIBLE,Other
904681905,MARION,INDIANAPOLIS,2/27/25,2025,Pedestrian,E 38TH ST & N TACOMA AVE,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.82527,-86.12024,FRACTURE/DISLOCATION,SSI
904684414,MARION,INDIANAPOLIS,2/22/25,2025,Pedestrian,CRAWFORDSVILLE & ,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,REFUSED,DAYLIGHT,CLEAR,DRY,39.80175,-86.27589,ABRASION,Other
904678491,MARION,INDIANAPOLIS,3/1/25,2025,Pedestrian,E WASHINGTON ST & N OXFORD ST,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,FATAL,DARK (NOT LIGHTED),CLEAR,DRY,39.768478,-86.114631,INTERNAL,Fatal
904678708,MARION,INDIANAPOLIS,3/1/25,2025,Pedestrian,E 21ST ST & N POST RD,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,REFUSED,DAYLIGHT,CLEAR,DRY,39.796773,-86.009395,COMPLAINT OF PAIN,Other
904678762,MARION,LAWRENCE,3/2/25,2025,Pedestrian,PENDLETON PIKE & GERMAN CHURCH,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.85778,-85.979746,NONE VISIBLE,Other
904678888,SHELBY,,3/1/25,2025,Pedestrian,NORTH HARRISON STREET & MECHANIC STREET,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.526465,-85.776999,ABRASION,Other
904680220,MARION,INDIANAPOLIS,3/4/25,2025,Pedalcyclist,WESTLANE RD & TOWNSHIP LINE RD,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.886234,-86.203063,COMPLAINT OF PAIN,Other
904680229,MARION,INDIANAPOLIS,3/4/25,2025,Pedestrian,38TH ST  & EAGLE CREEK PKWY,IMPROPER TURNING,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.82324,-86.283355,CONTUSION/BRUISE,Other
904682391,MARION,INDIANAPOLIS,3/7/25,2025,Pedestrian,N KENYON ST,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.79869,-86.056143,COMPLAINT OF PAIN,Other
904682674,MARION,INDIANAPOLIS,3/8/25,2025,Pedestrian,E 30TH ST & FALL CREEK PKWY N DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,NON-INCAPACITATING,DARK (NOT LIGHTED),CLOUDY,DRY,39.810446,-86.143701,COMPLAINT OF PAIN,Other
904682802,MARION,INDIANAPOLIS,3/10/25,2025,Pedestrian,3333 & PAGOSA CT.,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8181063,-86.0205184,COMPLAINT OF PAIN,Other
904683140,MARION,INDIANAPOLIS,3/10/25,2025,Pedalcyclist,E 42ND ST & MONON TRAIL,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.832391,-86.140357,COMPLAINT OF PAIN,Other
904683281,MARION,INDIANAPOLIS,3/11/25,2025,Pedalcyclist,E 34TH ST & N TEMPLE AVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.818089,-86.118897,MINOR BLEEDING,Other
904683867,MARION,INDIANAPOLIS,3/11/25,2025,Pedestrian,W MICHIGAN ST & N HOLMES AVE,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.774583,-86.205199,COMPLAINT OF PAIN,Other
904683877,MARION,INDIANAPOLIS,3/9/25,2025,Pedestrian,DARTMOOR DR & DARTMOOR CT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DARK (NOT LIGHTED),CLEAR,DRY,39.8342536,-86.2693555,CONTUSION/BRUISE,Other
904684261,MARION,INDIANAPOLIS,3/12/25,2025,Pedalcyclist,S FRANKLIN RD,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,REAR END,NON-INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.687807,-86.018359,ABRASION,Other
904684929,MARION,INDIANAPOLIS,3/13/25,2025,Pedalcyclist,OLIVE ST & CROSS ALLEY 1000 SOUTH OLIVE,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.753002,-86.137973,COMPLAINT OF PAIN,Other
904684957,MARION,INDIANAPOLIS,3/13/25,2025,Pedestrian,WATERGATE RD & WATERGATE CT,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.816298,-86.250788,FRACTURE/DISLOCATION,SSI
904684971,MARION,INDIANAPOLIS,3/12/25,2025,Pedestrian,ROCKVILLE RD & CORONADO RD,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,39.763799,-86.319413,FRACTURE/DISLOCATION,SSI
904685310,MARION,LAWRENCE,3/14/25,2025,Pedestrian,E 48TH STREET,VIEW OBSTRUCTED,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8446992,-86.0232956,MINOR BLEEDING,Other
904685957,MARION,INDIANAPOLIS,3/14/25,2025,Pedestrian,N COLLEGE AVE & E 46TH ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.839648,-86.145132,INTERNAL,SSI
904686964,MARION,LAWRENCE,3/17/25,2025,Pedestrian,BEAUVIOR DRIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.839435,-86.005562,COMPLAINT OF PAIN,Other
904687102,MARION,INDIANAPOLIS,3/2/25,2025,Pedestrian,FOREST MANOR & 3801,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.826041,-86.097734,NONE VISIBLE,Other
904687112,MARION,INDIANAPOLIS,3/17/25,2025,Pedestrian,SOUTHEASTERN AVE & PROSPECT STREET,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.752799,-86.098331,CRUSH INJURY,SSI
904687131,MARION,INDIANAPOLIS,3/17/25,2025,Pedestrian,EDGEWOOD AVENUE & MADISON AVENUE,UNSAFE BACKING,BACKING CRASH,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.680228,-86.1328187,COMPLAINT OF PAIN,Other
