Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904701451,HAMILTON,CARMEL,4/13/25,2025,Pedestrian,LOWES WAY,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DAYLIGHT,CLOUDY,DRY,39.998065,-86.123571,NONE VISIBLE,Other
904702310,HANCOCK,GREENFIELD,4/15/25,2025,Pedestrian,JEFFERSON ST & MAIN ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.784333,-85.788722,COMPLAINT OF PAIN,Other
904702970,JOHNSON,GREENWOOD,4/15/25,2025,Pedestrian,CHANEY AVE,WRONG WAY ON ONE WAY,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.6188829,-86.0689012,COMPLAINT OF PAIN,Other
904703102,HAMILTON,WESTFIELD,4/16/25,2025,Pedestrian,E 186TH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.05816,-86.15266,COMPLAINT OF PAIN,Other
904703925,HAMILTON,CARMEL,4/15/25,2025,Pedalcyclist,N PENNSYLVANIA ST & CONGRESSIONAL BLVD,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.9593339,-86.155195,ABRASION,Other
904706486,HAMILTON,FISHERS,4/22/25,2025,Pedalcyclist,OLIO ROAD & AVALON BOULEVARD,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.974431,-85.918725,ABRASION,Other
904707178,HAMILTON,NOBLESVILLE,4/23/25,2025,Pedalcyclist,STATE ROAD 32 & 19TH STREET,IMPROPER TURNING,LEFT/RIGHT TURN,POSSIBLE,DAYLIGHT,CLEAR,DRY,40.045668,-86.000302,ABRASION,Other
904707465,HAMILTON,CARMEL,4/23/25,2025,Pedalcyclist,N MERIDIAN ST.,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.955046,-86.162331,FRACTURE/DISLOCATION,SSI
904707641,JOHNSON,FRANKLIN,4/23/25,2025,Pedalcyclist,N MORTON ST,UNSAFE BACKING,BACKING CRASH,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.503291,-86.0682,COMPLAINT OF PAIN,Other
904711231,JOHNSON,FRANKLIN,4/30/25,2025,Pedestrian,N MORTON ST,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.4922777,-86.0636502,CONTUSION/BRUISE,Other
904711285,HANCOCK,,4/29/25,2025,Pedestrian,US 40 & CR 1050 E,UNSAFE BACKING,BACKING CRASH,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.791961,-85.609928,COMPLAINT OF PAIN,Other
904711662,JOHNSON,GREENWOOD,4/30/25,2025,Pedalcyclist,SMITH VALLEY RD & AVERITT RD,FOLLOWING TOO CLOSELY,REAR END,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.6061448,-86.1205627,COMPLAINT OF PAIN,Other
904713841,HAMILTON,WESTFIELD,4/30/25,2025,Pedestrian,SHAMROCK BLVD & CREEKWOOD DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.045639,-86.132688,INTERNAL,SSI
904711786,HAMILTON,NOBLESVILLE,5/1/25,2025,Pedalcyclist,STATE ROAD 37 & TOWN AND COUNTRY BLVD.,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,POSSIBLE,DAYLIGHT,CLEAR,DRY,40.03244955,-85.9955489,COMPLAINT OF PAIN,Other
904711789,HAMILTON,NOBLESVILLE,5/1/25,2025,Pedestrian,"SR 37 S & TOWN AND COUNTRY BLVD, NOBLESV",PEDESTRIAN ACTION,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,40.03242453,-85.9953927,FRACTURE/DISLOCATION,SSI
904712180,HAMILTON,CARMEL,5/1/25,2025,Pedalcyclist,E MAIN STREET & BRYN MAWR LANE,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,RAIN,WET,39.97836686,-86.12424316,ABRASION,Other
904712267,HAMILTON,CARMEL,5/1/25,2025,Pedalcyclist,GRAY RD & E 116TH ST,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.95835094,-86.08937959,INTERNAL,SSI
904712810,HANCOCK,,5/2/25,2025,Pedalcyclist,,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,39.93703989,-85.81513176,FRACTURE/DISLOCATION,SSI
904714892,HENDRICKS,BROWNSBURG,5/1/25,2025,Pedalcyclist,S ODELL ST & E COLLEGE AVE,PEDESTRIAN ACTION,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.839303459999996,-86.38803283,ABRASION,Other
904715987,HAMILTON,CARMEL,5/6/25,2025,Pedalcyclist,E. 126TH STREET,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RIGHT ANGLE,POSSIBLE,DARK (LIGHTED),CLEAR,DRY,39.9712978,-86.105605,MINOR BLEEDING,Other
904716020,HAMILTON,CARMEL,5/6/25,2025,Pedestrian,E CARMEL DR. ,UNSAFE BACKING,BACKING CRASH,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.9616226,-86.1152156,COMPLAINT OF PAIN,Other
904716984,HAMILTON,FISHERS,5/9/25,2025,Pedalcyclist,E. 116TTH ST. & EXIT FIVE PKWY,PEDESTRIAN ACTION,LEFT TURN,REFUSED,DARK (NOT LIGHTED),CLEAR,DRY,39.95705265,-86.00250291,MINOR BLEEDING,Other
904717519,HAMILTON,NOBLESVILLE,5/11/25,2025,Pedestrian,HARRELL PKY & TOWN CENTER BLVD,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.9925725,-85.9315516,COMPLAINT OF PAIN,Other
904719922,JOHNSON,GREENWOOD,5/10/25,2025,Pedestrian,WORTHSVILLE RD & US 31,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,POSSIBLE,DARK (LIGHTED),CLEAR,DRY,39.58659753,-86.10113551,COMPLAINT OF PAIN,Other
904721382,HAMILTON,NOBLESVILLE,5/15/25,2025,Pedestrian,BERGEN BLVD,UNSAFE BACKING,OTHER - EXPLAIN IN NARRATIVE,REFUSED,DAYLIGHT,CLEAR,DRY,39.994075,-85.92770314,MINOR BLEEDING,Other
904722121,HAMILTON,FISHERS,5/16/25,2025,Pedalcyclist,TROPHY DR & TITO CT,VIEW OBSTRUCTED,BACKING CRASH,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.9694244,-86.0102403,NONE VISIBLE,Other
904722363,HAMILTON,NOBLESVILLE,5/16/25,2025,Pedalcyclist,EAST/WEST ALLEY  BETWEEN 11TH  & NORTH/SOUTH ALLEY BETWEEN CHES,OBSTRUCTION NOT MARKED,RIGHT ANGLE,REFUSED,DAYLIGHT,CLOUDY,DRY,40.0368649,-86.0095705,COMPLAINT OF PAIN,Other
904726853,HAMILTON,WESTFIELD,5/23/25,2025,Pedestrian,E SPRING MILL POINTE DR,UNSAFE SPEED,SAME DIRECTION SIDESWIPE,NON-INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,40.04191563,-86.15672581,CRUSH INJURY,SSI
904726984,BOONE,ZIONSVILLE,5/24/25,2025,Pedalcyclist,106TH STREET & DEANDRA DR,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.9406268,-86.2419993,FRACTURE/DISLOCATION,SSI
904727333,JOHNSON,FRANKLIN,5/25/25,2025,Pedestrian,FRANKLIN PLACE CT.,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DAYLIGHT,CLOUDY,DRY,39.49507322,-86.07011353,ABRASION,Other
904728841,HANCOCK,GREENFIELD,5/27/25,2025,Pedestrian,STATE RD 9,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.81334571,-85.76737633,COMPLAINT OF PAIN,Other
904730197,HENDRICKS,BROWNSBURG,5/28/25,2025,Pedalcyclist,BENT STREAM LN & BENT STREAM LN,PEDESTRIAN ACTION,RIGHT ANGLE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.83129662,-86.3708801,ABRASION,Other
904730438,HAMILTON,FISHERS,5/29/25,2025,Pedalcyclist,GABLES DR & 116TH ST. ,IMPROPER TURNING,LEFT/RIGHT TURN,POSSIBLE,DAYLIGHT,CLOUDY,DRY,39.95664667,-86.0442861,ABRASION,Other
